creado_utc,evento,origen,cron,programado_utc,iniciado_utc,deriva_programacion_min,deriva_cola_min,recolectado,run_id
2026-09-04T16:10:21Z,workflow_dispatch,manual,"",,2026-09-04T16:10:21Z,,0.0,true,33893634431
2026-09-04T18:57:49Z,schedule,,"10 16 * * *",2026-09-04T16:10:00Z,2026-09-04T18:57:49Z,167.8,0.0,true,33908658037
2026-09-05T05:10:20Z,workflow_dispatch,manual,"",,2026-09-05T05:10:20Z,,0.0,true,33946498642
2026-09-05T08:23:28Z,workflow_dispatch,manual,"",,2026-09-05T08:23:28Z,,0.0,success,33955126539
2026-09-05T08:58:40Z,schedule,,"10 5 * * *",2026-09-05T05:10:00Z,2026-09-05T08:58:40Z,228.7,0.0,skipped,33956715937
2026-09-05T16:10:20Z,workflow_dispatch,manual,"",,2026-09-05T16:10:20Z,,0.0,success,33977025588
2026-09-05T18:12:36Z,schedule,,"10 16 * * *",2026-09-05T16:10:00Z,2026-09-05T18:12:36Z,122.6,0.0,skipped,33983336596
2026-09-06T05:10:20Z,workflow_dispatch,manual,"",,2026-09-06T05:10:20Z,,0.0,success,34013313555
2026-09-06T09:20:00Z,schedule,,"10 5 * * *",2026-09-06T05:10:00Z,2026-09-06T09:20:00Z,250.0,0.0,skipped,34024349622
2026-09-06T16:10:23Z,workflow_dispatch,manual,"",,2026-09-06T16:10:23Z,,0.0,success,34044592369
2026-09-06T18:14:09Z,schedule,,"10 16 * * *",2026-09-06T16:10:00Z,2026-09-06T18:14:09Z,124.2,0.0,skipped,34051060751
2026-09-07T05:10:20Z,workflow_dispatch,manual,"",,2026-09-07T05:10:20Z,,0.0,success,34085763793
2026-09-07T10:10:22Z,schedule,,"10 5 * * *",2026-09-07T05:10:00Z,2026-09-07T10:10:22Z,300.4,0.0,skipped,34110030892
2026-09-07T16:10:22Z,workflow_dispatch,manual,"",,2026-09-07T16:10:22Z,,0.0,success,34141976542
2026-09-07T19:53:53Z,schedule,,"10 16 * * *",2026-09-07T16:10:00Z,2026-09-07T19:53:53Z,223.9,0.0,skipped,34157320648
2026-09-08T05:10:21Z,workflow_dispatch,manual,"",,2026-09-08T05:10:21Z,,0.0,success,34189616913
2026-09-08T09:33:55Z,schedule,,"10 5 * * *",2026-09-08T05:10:00Z,2026-09-08T09:33:55Z,263.9,0.0,skipped,34210697589
2026-09-08T16:10:25Z,workflow_dispatch,manual,"",,2026-09-08T16:10:25Z,,0.0,success,34249419090
2026-09-08T19:24:15Z,schedule,,"10 16 * * *",2026-09-08T16:10:00Z,2026-09-08T19:24:15Z,194.2,0.0,skipped,34268749621
2026-09-09T05:10:22Z,workflow_dispatch,manual,"",,2026-09-09T05:10:22Z,,0.0,success,34313812881
2026-09-09T09:37:18Z,schedule,,"10 5 * * *",2026-09-09T05:10:00Z,2026-09-09T09:37:18Z,267.3,0.0,skipped,34335730869
2026-09-09T16:10:23Z,workflow_dispatch,manual,"",,2026-09-09T16:10:23Z,,0.0,success,34375035676
2026-09-09T19:14:26Z,schedule,,"10 16 * * *",2026-09-09T16:10:00Z,2026-09-09T19:14:26Z,184.4,0.0,skipped,34393869364
2026-09-10T05:10:22Z,workflow_dispatch,manual,"",,2026-09-10T05:10:22Z,,0.0,success,34440008786
2026-09-10T09:36:18Z,schedule,,"10 5 * * *",2026-09-10T05:10:00Z,2026-09-10T09:36:18Z,266.3,0.0,skipped,34461550957
2026-09-10T16:10:23Z,workflow_dispatch,manual,"",,2026-09-10T16:10:23Z,,0.0,success,34500396419
2026-09-10T19:05:43Z,schedule,,"10 16 * * *",2026-09-10T16:10:00Z,2026-09-10T19:05:43Z,175.7,0.0,skipped,34518330901
2026-09-11T05:10:22Z,workflow_dispatch,manual,"",,2026-09-11T05:10:22Z,,0.0,success,34564932845
2026-09-11T09:33:57Z,schedule,,"10 5 * * *",2026-09-11T05:10:00Z,2026-09-11T09:33:57Z,263.9,0.0,skipped,34584849031
2026-09-11T16:10:23Z,workflow_dispatch,manual,"",,2026-09-11T16:10:23Z,,0.0,success,34620441443
2026-09-11T19:07:51Z,schedule,,"10 16 * * *",2026-09-11T16:10:00Z,2026-09-11T19:07:51Z,177.8,0.0,skipped,34637154642
2026-09-12T05:10:23Z,workflow_dispatch,manual,"",,2026-09-12T05:10:23Z,,0.0,success,34674898620
2026-09-12T09:13:00Z,schedule,,"10 5 * * *",2026-09-12T05:10:00Z,2026-09-12T09:13:00Z,243.0,0.0,skipped,34685259013
2026-09-12T16:10:23Z,workflow_dispatch,manual,"",,2026-09-12T16:10:23Z,,0.0,success,34704417690
2026-09-12T18:18:49Z,schedule,,"10 16 * * *",2026-09-12T16:10:00Z,2026-09-12T18:18:49Z,128.8,0.0,skipped,34710805757
2026-09-13T05:10:21Z,workflow_dispatch,manual,"",,2026-09-13T05:10:21Z,,0.0,success,34739639401
